record_id,title,language,mobile_category,record_type,citation_url,is_accepted,old_quality_score,new_quality_score,quality_flags,content_length_before,content_length_after,ui_noise_removed,code_before,code_after,quota_before,quota_after,kix_units,has_price,has_code,has_kix_units,has_quota,possible_issue
0ae99e8f60bb0233010ea15f95bea91a6dc1155140fa5971fbebec142a822456,"WE Prepaid Mobile Packages | Calls, Internet & Recharge Plans in Egypt",en,prepaid,package,https://te.eg/en/web/guest/personal/mobile/prepaid,True,0.82,0.98,scrapling_static_fetch;ui_noise_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,562,298,True,,,,,,True,False,False,False,
48cea895ad1795c959a0eb3d67a86b09d629de9baf66dcd1fb38db6083b646c6,WE 12 PT | Prepaid Mobile Package for Calls & Internet in Egypt,en,prepaid,package,https://te.eg/en/personal/mobile/prepaid/12pt,True,0.94,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,919,358,True,*612#,*612#,,,,True,True,False,False,
7a93c9600356c5f4918909ea4255fa69ef6afe8f28ce6825c00a4cc12123383f,12 PT,en,prepaid,package,https://te.eg/en/personal/mobile/prepaid/12pt,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,445,239,True,*612#,*612#,,,,True,True,False,False,
e868e78dfcf613b78c6f12f100be2e7def56af5f0f354ca95e328fc5d0fecf9c,12Pt,en,prepaid,package,https://te.eg/en/personal/mobile/prepaid/12pt,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,423,238,True,*612#,*612#,,,,True,True,False,False,
42c8e0d6ddeb42d2b561689cbe96bbee9fd14f3fae526408168b84314c19f66c,6 PT per minute for any number with maximum of 30 minutes.,en,prepaid,package,https://te.eg/en/personal/mobile/prepaid/12pt,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,412,291,True,*612#,*612#,,,,True,True,False,False,
64cba1975d4dfc7111f082e6aacc64dd2a12ce83b804bf32a6f3aea9a79ec55f,12 PT,en,prepaid,package,https://te.eg/en/personal/mobile/prepaid/12pt,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,434,258,True,*612#,*612#,,,,True,True,False,False,
a1bf90a08a7a009ab3e1c9f99652f7a3e87d3bed46fe01acce2023078ef48942,12Pt,en,prepaid,plan,https://te.eg/en/personal/mobile/prepaid/12pt,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,399,257,True,*612#,*612#,,,,True,True,False,False,
844a398019a34d6a1df315959f84dc739ee01003dbeae756bbe073492eb8ea28,More calls to any WE number up to 30 minutes.,en,prepaid,plan,https://te.eg/en/personal/mobile/prepaid/12pt,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,375,298,True,*612#,*612#,,,,True,True,False,False,
dff21fd47d2fbcc9301d3f89a2d48cc695823e591217a8bc26454c4c33f9a234,"WE Control Mobile Plans | Monthly Calls, Internet & Mobile Packages in Egypt",en,control_plans,plan,https://te.eg/en/web/guest/personal/mobile/control,True,0.72,0.98,scrapling_static_fetch;ui_noise_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,575,320,True,,,,,,False,False,False,False,
7f6407e7d055a7b6e35502c5cfbf4c83a5db297869d73f76361336d2c2ab960e,"WE Mix Control Plans | Monthly Calls, Internet & Mobile Packages in Egypt",en,control_plans,plan,https://te.eg/en/personal/mobile/control-we-mix,True,1.0,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,1258,383,True,*100#,*100#,"3,500 MB","3,500 MB",,True,True,False,True,
afbc2982a7683eb0fc8fdc24d49cb3d4d53e239036357aea94f7c5a93392362b,Mix 250,en,control_plans,plan,https://te.eg/en/personal/mobile/control-we-mix,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,653,275,True,*100#,*100#,"3,500 MB","3,500 MB",,True,True,False,True,
80bc8a9a06afeaa165f447572102d09866ff799a31227398ef66753f57340f59,Control WE Mix,en,control_plans,plan,https://te.eg/en/personal/mobile/control-we-mix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,614,267,True,*100#,*100#,"3,500 MB","3,500 MB",,False,True,False,True,
16880cf50c145a1943c2f2b047a0262da26ab6367af4bd7dfe3e7b190f66d4d3,"Mobile: 3,500 MB, 1,500 minutes and 250 Group intra minutes",en,control_plans,plan,https://te.eg/en/personal/mobile/control-we-mix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,604,312,True,*100#,*100#,"3,500 MB","3,500 MB",,False,True,False,True,
33b8c24889760b7870ac86d9781bc59ae0287e9a009c7d817ca280d575fce130,Mix 355,en,control_plans,plan,https://te.eg/en/personal/mobile/control-we-mix,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,653,275,True,*100#,*100#,"6,000 MB","6,000 MB",,True,True,False,True,
6da64acfd337210ec8347b55a27a27da6d155aa4220447ed8003d23f2235340e,Control WE Mix,en,control_plans,plan,https://te.eg/en/personal/mobile/control-we-mix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,614,267,True,*100#,*100#,"6,000 MB","6,000 MB",,False,True,False,True,
c1d2e893240d83f302a2b150a5925127e3d3877a42ce3a1c64ffc14982b1a8d8,"Mobile: 6,000 MB, 2,000 minutes and 500 Group intra minutes",en,control_plans,plan,https://te.eg/en/personal/mobile/control-we-mix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,604,312,True,*100#,*100#,"6,000 MB","6,000 MB",,False,True,False,True,
a2b994da0efe47e1b0e0fcfcb0a2244085e23bf918ee61fc1643a236a839bc57,Super Kix 29,en,control_plans,terms,https://te.eg/en/w/super-kix-25,True,0.92,0.98,scrapling_static_fetch;ui_noise_removed;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,2125,596,True,,,156 MB,,750,True,False,True,False,
c0d6ff6159cb1b1190946abd8896d5dc52d8030ad2c3d367c42fd706d8cf70f8,Price,en,control_plans,plan,https://te.eg/en/w/super-kix-25,False,0.64,0.72,scrapling_static_fetch;ui_noise_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built;missing_useful_content;rejected_low_quality,196,35,True,,,,,,False,False,False,False,missing useful content
dd6e5ede8a7b2f6f64c60fdb58619b1487bdf83d0df5f82164346ec868e3c0dd,Nitro MBs after 25% extra,en,control_plans,plan,https://te.eg/en/w/super-kix-25,True,0.74,0.8,scrapling_static_fetch;ui_noise_removed;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,262,55,True,,,156 MB,,,False,False,False,False,
21b6e5c8f67f455070c64bb4578cfa54bfc22c073633eb22d387155236ea8ef5,Super Kix,en,control_plans,plan,https://te.eg/en/w/super-kix-25,True,0.64,0.92,scrapling_static_fetch;ui_noise_removed;kix_units_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,219,54,True,,,,,750,False,False,True,False,
af213a9f20657a44ceaa2e7c28c0f6728759f70d544041c42a90df609f1be869,Units used to other operators (1 Kix= 1 minute),en,control_plans,plan,https://te.eg/en/w/super-kix-25,True,0.64,0.88,scrapling_static_fetch;ui_noise_removed;consumption_rules_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,250,294,True,,,,,,False,False,False,False,
19d6b1f1ff303ba05b51b4848e0ed17597c848db031fde5b0f236560e449d921,Units,en,control_plans,plan,https://te.eg/en/w/super-kix-25,False,0.64,0.72,scrapling_static_fetch;ui_noise_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built;missing_useful_content;rejected_low_quality,164,35,True,,,,,,False,False,False,False,missing useful content
1fd5cc2deef19877c4c58e889afce0ccdc8921e6ce6e963feed3dbe154413d96,Minutes to WE network,en,control_plans,plan,https://te.eg/en/w/super-kix-25,False,0.64,0.72,scrapling_static_fetch;ui_noise_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built;missing_useful_content;rejected_low_quality,247,51,True,,,,,,False,False,False,False,missing useful content
182dd413892910a95ec31a627164a14246cd3c46367a161a407ce0dc2aeaed16,EGP 45,en,control_plans,plan,https://te.eg/en/w/super-kix-25,False,0.64,0.72,scrapling_static_fetch;ui_noise_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built;missing_useful_content;rejected_low_quality,160,36,True,,,,,,False,False,False,False,missing useful content
f0b6a9638420a332112b73e5dc9a62ab1477ae5d8c28c9d3ac4dc609bc832d18,"WE Tazbeet Plans | Calls, Internet & Control Mobile Packages in Egypt",en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,1.0,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_normalized;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,1283,418,True,"*660*46#,*660*58#,*660*105#,*660*165#","*660*58#,*660*46#,*660*165#,*660*105#","1,250 MB","1,250 MB",,True,True,False,True,
